color, c, m, y, k, similar to Pantone
MOOTONE 386 M,9,0,66,0,Pantone 386c
MOOTONE 387 M,12,0,80,0,Pantone 387c
MOOTONE 388 M,15,0,80,0,Pantone 388c
MOOTONE 389 M,21,0,85,0,Pantone 389c
MOOTONE 390 M,27,0,100,3,Pantone 390c
MOOTONE 391 M,23,5,100,33,Pantone 391c
MOOTONE 392 M,24,11,100,48,Pantone 392c
MOOTONE 393 M,6,0,55,0,Pantone 393c
MOOTONE 394 M,6,0,72,0,Pantone 394c
MOOTONE 395 M,9,0,90,0,Pantone 395c
MOOTONE 396 M,10,0,95,0,Pantone 396c
MOOTONE 397 M,14,2,100,15,Pantone 397c
MOOTONE 398 M,14,6,100,24,Pantone 398c
MOOTONE 399 M,16,9,100,36,Pantone 399c
MOOTONE 400 M,2,0,60,0,Pantone 3935c
MOOTONE 401 M,3,0,90,0,Pantone 3945c
MOOTONE 402 M,4,0,100,0,Pantone 3955c
MOOTONE 403 M,7,0,100,0,Pantone 3965c
MOOTONE 404 M,8,7,100,25,Pantone 3975c
MOOTONE 405 M,12,13,100,43,Pantone 3985c
MOOTONE 406 M,23,25,100,67,Pantone 3995c
MOOTONE 407 M,6,7,13,16,Pantone 400c
MOOTONE 408 M,10,11,17,27,Pantone 401c
MOOTONE 409 M,13,16,21,36,Pantone 402c
MOOTONE 410 M,18,21,27,47,Pantone 403c
MOOTONE 411 M,20,25,30,58,Pantone 404c
MOOTONE 412 M,26,31,35,72,Pantone 405c
MOOTONE 413 M,63,62,58,94,Pantone Black c
MOOTONE 414 M,5,8,10,16,Pantone 406c
MOOTONE 415 M,9,14,13,28,Pantone 407c
MOOTONE 416 M,12,19,19,40,Pantone 408c
MOOTONE 417 M,17,25,22,51,Pantone 409c
MOOTONE 418 M,22,33,28,60,Pantone 410c
MOOTONE 419 M,30,42,34,75,Pantone 411c
MOOTONE 420 M,52,58,45,90,Pantone 412c
MOOTONE 421 M,9,5,12,14,Pantone 413c
MOOTONE 422 M,13,8,17,26,Pantone 414c
MOOTONE 423 M,22,14,23,38,Pantone 415c
MOOTONE 424 M,28,18,29,51,Pantone 416c
MOOTONE 425 M,33,23,35,63,Pantone 417c
MOOTONE 426 M,38,26,40,72,Pantone 418c
MOOTONE 427 M,86,70,69,95,Pantone 419c
MOOTONE 428 M,6,4,7,13,Pantone 420c
MOOTONE 429 M,13,8,11,26,Pantone 421c
MOOTONE 430 M,19,12,13,34,Pantone 422c
MOOTONE 431 M,22,14,18,45,Pantone 423c
MOOTONE 432 M,30,20,19,58,Pantone 424c
MOOTONE 433 M,48,29,26,76,Pantone 425c
MOOTONE 434 M,94,77,52,94,Pantone 426c
MOOTONE 435 M,7,3,5,8,Pantone 427c
MOOTONE 436 M,10,4,4,14,Pantone 428c
MOOTONE 437 M,21,11,9,23,Pantone 429c
MOOTONE 438 M,33,18,13,40,Pantone 430c
MOOTONE 439 M,45,25,16,58,Pantone 431c
MOOTONE 440 M,65,43,26,78,Pantone 432c
MOOTONE 441 M,90,68,41,90,Pantone 433c
MOOTONE 442 M,5,11,8,12,Pantone 434c
MOOTONE 443 M,9,16,8,19,Pantone 435c
MOOTONE 444 M,12,24,9,28,Pantone 436c
MOOTONE 445 M,21,40,18,56,Pantone 437c
MOOTONE 446 M,42,56,47,77,Pantone 438c
MOOTONE 447 M,52,61,47,83,Pantone 439c
MOOTONE 448 M,63,62,58,88,Pantone 440c
MOOTONE 449 M,22,4,15,8,Pantone 441c
MOOTONE 450 M,25,7,19,20,Pantone 442c
MOOTONE 451 M,33,12,18,30,Pantone 443c
MOOTONE 452 M,45,16,25,50,Pantone 444c
MOOTONE 453 M,52,23,30,74,Pantone 445c
MOOTONE 454 M,54,27,36,82,Pantone 446c
MOOTONE 455 M,50,30,40,90,Pantone 447c
MOOTONE 456 M,33,43,80,82,Pantone 448c
MOOTONE 457 M,31,38,75,76,Pantone 449c
MOOTONE 458 M,32,39,87,74,Pantone 450c
MOOTONE 459 M,21,15,54,31,Pantone 451c
MOOTONE 460 M,16,11,45,25,Pantone 452c
MOOTONE 461 M,11,7,35,15,Pantone 453c
MOOTONE 462 M,11,5,29,8,Pantone 454c
